run_num,run_info,total_seconds,imports,initial_data_load,cached_data_load,sidebar_filtering,watchlist_tab,diary_tab,stats_tab,year_tab,genre_tab,director_tab,actor_tab,collections_tab,filmid_lookup_tab
50,Move all charts to initial load,0.6389856338500977,0.0008842945098876,,0.0,0.0105366706848144,0.065861701965332,0.0729498863220214,0.0150613784790039,0.1177501678466796,0.0030000209808349,0.1269161701202392,0.1917324066162109,0.0035200119018554,0.0287909507751464
51,Move all charts to initial load,0.5991768836975098,0.0,,0.0,0.0153388977050781,0.0618774890899658,0.0631299018859863,0.0116758346557617,0.0898761749267578,0.0019829273223876,0.1628062725067138,0.1545636653900146,0.0070941448211669,0.028820514678955
52,Move all charts to initial load,0.6489331722259521,0.0,,0.0,0.016251802444458,0.0851905345916748,0.0796318054199218,0.0152728557586669,0.1154797077178955,0.0049993991851806,0.1561422348022461,0.1357338428497314,0.0040040016174316,0.0331752300262451
53,Move all charts to initial load,0.5846085548400879,0.0,,0.0,0.0140562057495117,0.0957221984863281,0.0640876293182373,0.0140750408172607,0.0920100212097168,0.0029816627502441,0.1222083568572998,0.1400213241577148,0.0050067901611328,0.0285844802856445
54,Move all charts to initial load,0.5347433090209961,0.0,,0.0,0.0100231170654296,0.0681421756744384,0.0606217384338378,0.0131969451904296,0.0920546054840087,0.0030012130737304,0.1153120994567871,0.1378586292266845,0.0040013790130615,0.0282607078552246
55,Move all charts to initial load,0.6122381687164307,0.0,,0.0,0.0153896808624267,0.0673620700836181,0.066746711730957,0.0136158466339111,0.09721040725708,0.0025191307067871,0.1557381153106689,0.1587250232696533,0.0042915344238281,0.0286376476287841
56,Move all charts to initial load,0.5860719680786133,0.0,,0.0,0.0138061046600341,0.055016279220581,0.0803503990173339,0.0144071578979492,0.103811502456665,0.00301194190979,0.1092429161071777,0.1653163433074951,0.0031375885009765,0.0349693298339843
57,Add text input to Enter Actor,22.475775241851807,0.0,21.478526830673218,,0.0260069370269775,0.1689887046813964,0.1176657676696777,0.0176022052764892,0.1368234157562255,0.002976655960083,0.1376340389251709,0.3467345237731933,0.0095105171203613,0.0267961025238037
58,Add text input to Enter Actor,0.9419007301330566,0.0,,0.0,0.0235905647277832,0.188493013381958,0.0772032737731933,0.0122218132019042,0.0890672206878662,0.0019853115081787,0.1252264976501464,0.3708124160766601,0.0055108070373535,0.0457944869995117
59,Add text input to Enter Actor,0.7332274913787842,0.0,,0.0,0.0120267868041992,0.0654473304748535,0.07273530960083,0.0146892070770263,0.0927655696868896,0.0029985904693603,0.1318738460540771,0.3036894798278808,0.0050001144409179,0.0310020446777343
